Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
CRH plc,79.48 77.84,79.48 79.48,1.64 2.11%,03:00 AM 03/21/2024 03:00:11 AM UTC-0400 21.03.2024,3.66 7.47%,11.63 62.97%,31.92 70.00%
Kerry Group plc,82.12 83.06,82.12 82.12,-0.94 -1.13%,03:01 AM 03/21/2024 03:01:10 AM UTC-0400 21.03.2024,5.86 7.73%,0.00 0.00%,-10.18 -11.09%
Kingspan Group plc,83.38 83.92,83.38 83.38,-0.54 -0.64%,03:27 AM 03/21/2024 03:27:40 AM UTC-0400 21.03.2024,5.64 7.10%,0.00 0.00%,22.98 37.03%
