Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
GBL;EUR;10247000000.0;131,153.8842 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Brussels;BE0003797140;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;9.5;5.0;13.0;0.71;0.25;;;0.385;;
KBC;EUR;29211000000.0;;Stock;Ordinary Shares;Euronext Brussels;BE0003565737;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;6.0;16.0;0.57;0.14;;;0.375;;
LOTUS BAKERIES;EUR;7352000000.0;;Stock;Ordinary Shares;Euronext Brussels;BE0003604155;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;15.0;3.0;10.0;0.51;0.44;;;0.3;184477.0;
MELEXIS;;;;Stock;Ordinary Shares;Euronext Brussels;BE0165385973;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;;;;;;;;;
SOFINA;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003717312;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;;;;;;;;;;
SOLVAY;EUR;3245000000.0;2,649.5661 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Brussels;BE0003470755;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201000, Chemicals: Diversified;12.1;7.0;15.0;0.24;0.265;0.04;;0.467;35277806.0;
SYENSQO;EUR;9349000000.0;;Stock;Ordinary Shares;Euronext Brussels;BE0974464977;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101000, Diversified Materials;;;;;;;;;;
UCB;EUR;23341000000.0;5.5253 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Brussels;BE0003739530;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;36.0;5.0;13.0;0.511;0.38;;;0.385;259055.763;0.054
UMICORE;EUR;5204000000.0;821.9888 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Brussels;BE0974320526;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;46.6;4.0;10.0;0.234;0.137;;;0.4;2027779.4;0.065
WAREHOUSES DE PAUW;EUR;5481000000.0;30.2201 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Brussels;BE0974349814;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102020, Industrial REITs;23.55;2.0;6.0;0.43;0.0;0.014;;0.333;368487596.0;0.02
ALTRI SGPS;EUR;1011000000.0;262.8806 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTALT0AE0002;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;29.0;4.0;12.0;0.18;0.24;;;0.333;4707447.377;
B.C.P.-BCO COMERCIAL PORTUGUES;EUR;4737000000.0;;Stock;Ordinary Shares;Euronext Lisbon;PTBCP0AM0015;30, Financials;3010, Banks;301010, Banks;30101010, Banks;45.0;4.0;17.0;0.55;0.25;;0.014;0.235;86666.736;
Corticeira Amorim-SGPS;EUR;1289000000.0;167.8415 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTCOR0AE0006;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;18.0;4.0;10.0;0.26;0.26;0.001;;0.4;504409.015;
CTT-CORREIOS DE PORTUGAL, SA;EUR;651935000.0;19.34 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTCTT0AM0001;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206040, Delivery Services;12.5;4.0;11.0;0.39;0.399;0.01;0.023;0.364;100952025.206;
EDP;EUR;15238000000.0;281.88 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTEDP0AM0009;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;28.9;6.0;16.0;0.29;0.4;;0.0;0.375;20793905.524;0.058
EDP RENOVAVEIS;EUR;13281000000.0;85.89 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;ES0127797019;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;29.0;5.0;12.0;0.34;0.0;;0.014;0.417;111243.422;0.142
GALP ENERGIA-NOM;EUR;11504000000.0;;Stock;Ordinary Shares;Euronext Lisbon;PTGAL0AM0009;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;;5.0;18.0;0.45;0.25;0.19;;0.278;;
GREENVOLT ENERGIAS RENOVAVEIS S.A.;EUR;1156000000.0;31.2345 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTGNV0AM0001;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;;4.0;11.0;0.4;;;;0.364;2677468.531;
Ibersol-SGPS;EUR;296517000.0;29.6425 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTIBS0AM0008;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501040, Restaurants and Bars;;2.0;5.0;0.53;;;;0.4;;
J.MARTINS,SGPS;EUR;11271000000.0;1,650.7916 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTJMT0AE0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;55.88;4.0;11.0;0.76;0.669;0.022;0.018;0.364;2080793.331;
MOTA ENGIL;EUR;1314000000.0;1,311.76 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Lisbon;PTMEN0AE0005;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;11.1;7.0;15.0;0.14;0.01;;;0.467;1887065.399;
