Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
NORWEGIAN AIR SHUTTLE;NOK;15976000000.0;0.12 Ton / Thousand (NOK);Stock;Ordinary Shares;Oslo Børs;NO0010196140;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;;3.0;8.0;0.43;0.22;;;0.375;;
ORKLA;NOK;79113000000.0;32.57 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0003733800;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;12.4;5.0;11.0;0.465;0.402;;;0.455;1005000.0;
PGS;NOK;8451000000.0;0 Kiloton / Thousand (USD);Stock;Ordinary Shares;Oslo Børs;NO0010199151;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;13.7;5.0;10.0;0.3;;;;0.5;1061000.0;
SALMAR;NOK;86155000000.0;14.3287 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0010310956;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;3.0;7.0;0.28;0.14;;;0.429;293889.124;
STOREBRAND;NOK;44222000000.0;0.0074 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0003053605;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;6.0;5.0;10.0;0.46;0.56;0.16;;0.5;;
SUBSEA 7;NOK;54286000000.0;152.0874 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;LU0075646355;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;13.08;1.0;7.0;0.17;0.29;;;0.143;2173161.211;0.082
TELENOR;NOK;170314000000.0;0.01 Kiloton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0010063308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;;5.0;10.0;0.38;;;;0.5;2791000.0;
TGS ASA;NOK;17218000000.0;0.07 Ton / Thousand (USD);Stock;Ordinary Shares;Oslo Børs;NO0003078800;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;21.6;2.0;5.0;0.545;0.29;;;0.4;;
TOMRA SYSTEMS;NOK;43074000000.0;29.57 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0012470089;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;;3.0;8.0;0.23;0.29;0.023;;0.375;2159283.0;
VÅR ENERGI ASA;NOK;94115000000.0;735.2741 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;NO0011202772;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101015, Offshore Drilling and Other Services;;6.0;12.0;0.255;0.3;0.06;;0.5;980871.34;
YARA INTERNATIONAL;NOK;86199000000.0;;Stock;Ordinary Shares;Oslo Børs;NO0010208051;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201015, Fertilizers;;;;;;;;;;
A2A;;;990.9946 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0001233417;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;24.0;5.0;12.0;0.19;0.25;;;0.417;;0.089
AMPLIFON;EUR;7020000000.0;17.13 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0004056880;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;29.8;5.0;9.0;0.733;0.274;;0.047;0.556;67190.887;
AZIMUT;EUR;3461000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0003261697;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;5.0;7.0;16.0;0.46;0.16;;0.005;0.438;2855.28;
BANCA GENERALI;EUR;4167000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0001031084;30, Financials;3010, Banks;301010, Banks;30101010, Banks;59.0;4.0;8.0;0.49;0.37;;0.047;0.5;3159.447;
BANCA MEDIOLANUM;EUR;7585000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0004776628;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;34.39;6.0;13.0;0.495;;;;0.461;19118.515;
BANCO BPM;EUR;9627000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0005218380;30, Financials;3010, Banks;301010, Banks;30101010, Banks;55.0;6.0;15.0;0.461;0.26;;;0.4;158564.738;
BPER BANCA;EUR;6252000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0000066123;30, Financials;3010, Banks;301010, Banks;30101010, Banks;45.14;8.0;15.0;0.47;0.208;;;0.533;143635.115;0.011
BUZZI;EUR;6484000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0001347308;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;31.0;5.0;12.0;0.142;;;;0.417;29099189.946;
CNH INDUSTRIAL;EUR;14686000000.0;;Stock;Ordinary Shares;Euronext Global Equity Market;NL0010545661;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204010, Machinery: Agricultural;22.19;4.0;9.0;0.106;0.17;;0.018;0.444;1047778.616;
DIASORIN;EUR;5012000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0003492391;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment;60.84;6.0;15.0;0.43;0.269;0.1;;0.4;59133.103;
ENEL;EUR;59699000000.0;0.0009 Million tons / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003128367;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;47.4;4.0;9.0;0.234;0.249;0.193;0.033;0.444;;
ENI;EUR;50023000000.0;2,547.3534 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003132476;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;31.1;4.0;9.0;0.269;0.175;0.01;;0.444;143639003.8;0.027
ERG;EUR;3617000000.0;26.68 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0001157020;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;42.5;5.0;12.0;0.31;0.18;0.01;;0.417;22000.0;0.054
FINECOBANK;EUR;8520000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0000072170;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;;;;;;;
GENERALI ASS;EUR;35353000000.0;1.73 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0000062072;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;34.4;6.0;13.0;0.511;;0.145;;0.462;;
HERA;EUR;4767000000.0;1,264.5281 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0001250932;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;30.8;6.0;15.0;0.276;0.216;;0.035;0.4;3981392.074;0.024
INTERPUMP GROUP;EUR;4477000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0001078911;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;10.0;5.0;10.0;0.192;0.113;;;0.5;231037.685;
INTESA SANPAOLO;EUR;61238000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0000072618;30, Financials;3010, Banks;301010, Banks;30101010, Banks;51.4;8.0;19.0;0.537;0.005;;0.045;0.421;1000598.3;0.028
INWIT;EUR;9463000000.0;18.7958 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0005090300;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;19.1;5.0;11.0;0.38;0.26;;;0.455;774287.008;
ITALGAS;EUR;4081000000.0;26.7793 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0005211237;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102020, Gas Distribution;35.0;4.0;9.0;0.178;0.183;0.132;0.043;0.444;131111.216;0.021
IVECO GROUP;EUR;3404000000.0;8,110.5393 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;NL0015000LU4;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206015, Commercial Vehicles and Parts;11.29;3.0;9.0;0.184;0.188;;0.053;0.333;847789.845;0.029
LEONARDO;;;434.48 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003856405;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;24.1;5.0;12.0;0.196;0.16;0.02;0.032;0.417;1475278.958;0.044
MEDIOBANCA;EUR;11542000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0000062957;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;26.3;6.0;15.0;0.42;;0.261;;0.4;37727.558;
MONCLER;;;18.2543 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0004965148;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;27.07;5.0;12.0;0.688;0.51;;0.012;0.417;;0.134
NEXI;EUR;7147000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0005366767;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;19.6;5.0;13.0;0.42;0.223;0.193;0.017;0.385;65359.997;
PIRELLI & C;EUR;5870000000.0;362.67 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0005278236;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires;177.6;6.0;15.0;0.156;0.137;;0.019;0.4;2825114.76;0.065
POSTE ITALIANE;EUR;15223000000.0;3.6046 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003796171;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;48.0;4.0;9.0;0.531;0.46;0.007;0.043;0.444;1087570.315;0.055
PRYSMIAN;EUR;13888000000.0;18,269.58 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0004176001;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;35.7;5.0;12.0;0.205;0.188;0.05;;0.417;2675308.807;
RECORDATI ORD;EUR;10402000000.0;;Stock;Ordinary Shares;Euronext Milan;IT0003828271;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;27.8;5.0;12.0;0.48;;0.1;;0.417;172500.138;
SNAM;EUR;14284000000.0;98.6156 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003153415;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101035, Pipelines;33.7;4.0;9.0;0.165;0.197;0.08;;0.444;4900281.698;0.038
STELLANTIS;EUR;77072000000.0;6,409.5742 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;;3.0;11.0;;;;;0.273;15494891.0;
STMICROELECTRONICS;EUR;34237000000.0;27.9849 Ton / Million (USD);Stock;Ordinary Shares;Euronext Milan;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;;;;;0.444;2878880.081;
TELECOM ITALIA;EUR;3357000000.0;124.89 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003497168;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;53.75;6.0;15.0;0.38;0.28;;0.03;0.4;2671000.0;
TERNA;EUR;14605000000.0;132.1212 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0003242622;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;36.0;6.0;13.0;0.161;0.237;0.19;;0.461;257855.04;0.018
UNIPOL;EUR;5833000000.0;476.3635 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Milan;IT0004810054;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;15.72;6.0;15.0;0.543;0.162;0.09;;0.4;147441.785;0.027
