Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector
ITALGAS;EUR;4.053B;;;;;;26.7793 Ton / Million (EUR);17.76 %;2.1 %;Stock;Ordinary Shares;Euronext Milan;IT0005211237;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102020, Gas Distribution
IVECO GROUP;EUR;3.405B;;;;;;8,110.5393 Ton / Million (EUR);18.4 %;2.9 %;Stock;Ordinary Shares;Euronext Milan;NL0015000LU4;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206015, Commercial Vehicles and Parts
LEONARDO;EUR;12.887B;;;;;;434.48 Ton / Million (EUR);19.6 %;4.4 %;Stock;Ordinary Shares;Euronext Milan;IT0003856405;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense
MEDIOBANCA;EUR;11.428B;C;;;;15.7/40;;42.05 %;;Stock;Ordinary Shares;Euronext Milan;IT0000062957;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services
MONCLER;EUR;18.154B;A-;;;;Top-Rated Badge;18.2543 Ton / Million (EUR);68.8 %;13.4 %;Stock;Ordinary Shares;Euronext Milan;IT0004965148;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories
NEXI;EUR;7.079B;;;;;;;42 %;;Stock;Ordinary Shares;Euronext Milan;IT0005366767;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services
PIRELLI & C;;;;;;;;362.67 Ton / Million (EUR);15.6 %;6.5 %;Stock;Ordinary Shares;Euronext Milan;IT0005278236;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires
POSTE ITALIANE;EUR;15.001B;A-;;;;;3.6046 Ton / Million (EUR);53.1 %;5.5 %;Stock;Ordinary Shares;Euronext Milan;IT0003796171;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance
PRYSMIAN;EUR;13.462B;A-;;;;low risk;18,269.58 Ton / Million (EUR);20.5 %;;Stock;Ordinary Shares;Euronext Milan;IT0004176001;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components
RECORDATI ORD;EUR;10.235B;B;3.9;;;;;48 %;;Stock;Ordinary Shares;Euronext Milan;IT0003828271;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals
;;;;;;;;;;;;;;;;;;
SNAM;EUR;14.190B;A List;score of 3.8;;;rating of 14.1;98.6156 Ton / Million (EUR);16.53 %;3.8 %;Stock;Ordinary Shares;Euronext Milan;IT0003153415;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101035, Pipelines
STELLANTIS;EUR;76.819B;;;;;;6,409.5742 Ton / Million (EUR); %; %;Stock;Ordinary Shares;Euronext Milan;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles
STMICROELECTRONICS;EUR;34.661B;;;;;;27.9849 Ton / Million (USD); %; %;Stock;Ordinary Shares;Euronext Milan;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors
TELECOM ITALIA;EUR;3.420B;;;;;;124.89 Ton / Million (EUR);38 %;;Stock;Ordinary Shares;Euronext Milan;IT0003497168;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services
;;;;;;;;;;;;;;;;;;
TERNA;EUR;14.609B;;;;;;132.1212 Ton / Million (EUR);16.08 %;1.8 %;Stock;Ordinary Shares;Euronext Milan;IT0003242622;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity
;;;;;;;;;;;;;;;;;;
UNIPOL;EUR;5.740B;;;;;;476.3635 Ton / Million (EUR);54.3 %;2.7 %;Stock;Ordinary Shares;Euronext Milan;IT0004810054;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance
