Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector
EDP;EUR;15.033B;;;;;19.4 (Low risk);281.88 Ton / Million (EUR);29 %;5.8 %;Stock;Ordinary Shares;Euronext Lisbon;PTEDP0AM0009;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
EDP RENOVAVEIS;EUR;13.097B;;;;;16.2 (Low Risk);85.89 Ton / Million (EUR);34 %;14.2 %;Stock;Ordinary Shares;Euronext Lisbon;ES0127797019;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
GALP ENERGIA-NOM;EUR;11.515B;;;;;;;45 %;;Stock;Ordinary Shares;Euronext Lisbon;PTGAL0AM0009;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas
GREENVOLT ENERGIAS RENOVAVEIS S.A.;EUR;1.155B;;;;;;31.2345 Ton / Million (EUR);40 %;;Stock;Ordinary Shares;Euronext Lisbon;PTGNV0AM0001;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
Ibersol-SGPS;EUR;295.670M;;;;;;29.6425 Ton / Million (EUR);53 %;;Stock;Ordinary Shares;Euronext Lisbon;PTIBS0AM0008;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501040, Restaurants and Bars
J.MARTINS,SGPS;EUR;11.151B;;;;;;1,650.7916 Ton / Million (EUR);75.96 %;;Stock;Ordinary Shares;Euronext Lisbon;PTJMT0AE0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers
MOTA ENGIL;EUR;1.301B;;;;;;1,311.76 Ton / Million (EUR);14 %;;Stock;Ordinary Shares;Euronext Lisbon;PTMEN0AE0005;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction
NOS, SGPS, SA;EUR;1.849B;;;;;;0.13 Ton / Thousand (EUR);40.88 %;;Stock;Ordinary Shares;Euronext Lisbon;PTZON0AM0006;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services
REN;EUR;1.468B;;;;;;61.9923 Ton / Million (EUR);25.3 %;;Stock;Ordinary Shares;Euronext Lisbon;PTREL0AM0008;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity
SEMAPA;EUR;1.224B;;;;;;;15.9 %;;Stock;Ordinary Shares;Euronext Lisbon;PTSEM0AM0004;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper
