Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Rate of resignation in %
SHELL PLC;EUR;218753000000.0;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;GB00BP6MXD84;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;4267.5616;0.33;0.05
UNIVERSAL MUSIC GROUP;EUR;49171000000.0;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0015000IY2;40, Consumer Discretionary;4030, Media;403010, Media;40301010, Entertainment;;;
UNILEVER PLC;EUR;115564000000.0;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;GB00B10RZP78;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201020, Personal Products;0.0;0.36;
WOLTERS KLUWER;EUR;35078000000.0;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000395903;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing;;;
AB INBEV;EUR;96797000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974293251;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers;142.249;0.22;
ACKERMANS V.HAAREN;EUR;5236000000.0;;;;;7.9;Stock;Ordinary Shares;Euronext Brussels;BE0003764785;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;0.032100000000000004;0.449;
AEDIFICA;EUR;2727000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003851681;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs;9.412255;0.37189999999999995;
AGEAS;EUR;8041000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974264930;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;;;
ARGENX SE;EUR;20207000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;NL0010832176;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;;0.63;0.042699999999999995
COFINIMMO;EUR;2281000000.0;B;;AA;;11.2 (low risk);Stock;Ordinary Shares;Euronext Brussels;BE0003593044;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs;9.63;0.53;
D'IETEREN GROUP;EUR;10903000000.0;;;;;11.3;Stock;Ordinary Shares;Euronext Brussels;BE0974259880;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101010, Auto Services;8.504788000000001;0.5;
ELIA GROUP;EUR;6738000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003822393;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;186.233607;0.22899999999999998;
GALAPAGOS;EUR;1804000000.0;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;BE0003818359;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;17.7513;0.56;0.12
GBL;EUR;10086000000.0;;;;;9.2;Stock;Ordinary Shares;Euronext Brussels;BE0003797140;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;140334.656094;0.71;
KBC;EUR;28644000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003565737;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.57;
LOTUS BAKERIES;EUR;7238000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003604155;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;0.51;
MELEXIS;EUR;2941000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0165385973;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;;
SOFINA;EUR;7234000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003717312;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;;;
SOLVAY;EUR;3155000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003470755;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201000, Chemicals: Diversified;2835.035727;0.24;
SYENSQO;EUR;9271000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974464977;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101000, Diversified Materials;;;
UCB;EUR;23321000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003739530;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;5.912071;0.5112;0.054000000000000006
UMICORE;EUR;5234000000.0;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974320526;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;879.528016;0.2345;0.0653
WAREHOUSES DE PAUW;EUR;5433000000.0;B;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974349814;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102020, Industrial REITs;32.335507;0.43;0.02
ALTRI SGPS;EUR;1022999999.9999999;A-;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTALT0AE0002;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;281.28224200000005;0.18;
B.C.P.-BCO COMERCIAL PORTUGUES;;;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTBCP0AM0015;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.55;
Corticeira Amorim-SGPS;EUR;1286000000.0;;;;;;Stock;Ordinary Shares;Euronext Lisbon;PTCOR0AE0006;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;179.590405;0.26;
