Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Rate of resignation in %
TGS ASA;NOK;17388000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0003078800;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;0.07;0.5455;
TOMRA SYSTEMS;NOK;43577000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0012470089;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;2.69087;0.23;
VÅR ENERGI ASA;NOK;93565000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0011202772;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101015, Offshore Drilling and Other Services;735.2741;0.2547;
YARA INTERNATIONAL;NOK;83550000000.0;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010208051;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201015, Fertilizers;;;
A2A;EUR;5295000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0001233417;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;1060.3642220000002;0.19;0.08900000000000001
AMPLIFON;EUR;6980000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0004056880;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;18.3291;0.733;
AZIMUT;EUR;3457000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003261697;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;;0.46;
BANCA GENERALI;EUR;4069000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0001031084;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.49;
BANCA MEDIOLANUM;EUR;7443000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0004776628;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;;0.495;
BANCO BPM;EUR;9470000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0005218380;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.461;
BPER BANCA;EUR;6129000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0000066123;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.47;0.010700000000000001
BUZZI;EUR;6596000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0001347308;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;0.142;
CNH INDUSTRIAL;EUR;14736000000.0;;;;;;Stock;Ordinary Shares;Euronext Global Equity Market;NL0010545661;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204010, Machinery: Agricultural;;0.106;
DIASORIN;EUR;5067000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003492391;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment;;0.43;
ENEL;EUR;58824000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003128367;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;0.0009;0.23399999999999999;
ENI;EUR;50351000000.0;Water Security, 2023;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003132476;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;2725.668138;0.2686;0.0268
ERG;EUR;3641000000.0;;;;;14.1 Low Risk;Stock;Ordinary Shares;Euronext Milan;IT0001157020;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;28.547600000000003;0.31;0.054000000000000006
FINECOBANK;EUR;8429000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0000072170;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;
GENERALI ASS;;;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0000062072;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;1.8511000000000002;0.511;
HERA;EUR;4665000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0001250932;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;1353.045067;0.2764;0.0242
INTERPUMP GROUP;EUR;4475000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0001078911;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;;0.192;
INTESA SANPAOLO;EUR;60315000000.0;A;;;;12.2;Stock;Ordinary Shares;Euronext Milan;IT0000072618;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.537;0.027999999999999997
INWIT;EUR;9415000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0005090300;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;20.111506000000002;0.38;
ITALGAS;EUR;4053000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0005211237;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102020, Gas Distribution;28.653851;0.1776;0.021
IVECO GROUP;EUR;3405000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;NL0015000LU4;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206015, Commercial Vehicles and Parts;8678.277051000001;0.184;0.028999999999999998
LEONARDO;EUR;12887000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003856405;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;464.89360000000005;0.196;0.044000000000000004
MEDIOBANCA;EUR;11428000000.0;C;;;;15.7/40;Stock;Ordinary Shares;Euronext Milan;IT0000062957;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;;0.4205;
MONCLER;EUR;18154000000.0;A-;;;;Top-Rated Badge;Stock;Ordinary Shares;Euronext Milan;IT0004965148;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;19.532101;0.688;0.134
NEXI;EUR;7079000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0005366767;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;;0.42;
PIRELLI & C;;;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0005278236;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires;388.05690000000004;0.156;0.065
POSTE ITALIANE;EUR;15001000000.0;A-;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003796171;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;3.8569220000000004;0.531;0.055
PRYSMIAN;EUR;13462000000.0;A-;;;;low risk;Stock;Ordinary Shares;Euronext Milan;IT0004176001;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;19548.450600000004;0.205;
RECORDATI ORD;EUR;10235000000.0;B;3.9;;;;Stock;Ordinary Shares;Euronext Milan;IT0003828271;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;0.48;
SNAM;EUR;14190000000.0;A List;score of 3.8;;;rating of 14.1;Stock;Ordinary Shares;Euronext Milan;IT0003153415;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101035, Pipelines;105.518692;0.1653;0.038
STELLANTIS;EUR;76819000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;6858.244394;;
STMICROELECTRONICS;EUR;34661000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;27.9849;;
TELECOM ITALIA;EUR;3420000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003497168;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;133.63230000000001;0.38;
TERNA;EUR;14609000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0003242622;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;141.369684;0.16079999999999997;0.018000000000000002
UNIPOL;EUR;5740000000.0;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0004810054;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;509.708945;0.5429999999999999;0.027000000000000003
