Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Share of women in management bodies;Gender pay gap;Professional equality index;Rate of employees with disabilities;Average training hours per employee;Board gender diversity (female board members / total board members);Number of female board members;Number of board members;Total energy consumption; Ratio of non-recycled waste
CTT-CORREIOS DE PORTUGAL, SA;EUR;651.935M;;;;;;19.34 Ton / Million (EUR);39%;;Stock;Ordinary Shares;Euronext Lisbon;PTCTT0AM0001;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206040, Delivery Services;39.90%;1%;;2.30%;12.5 unit;36.40%;4 unit;11 unit;363,427 terajoule;
EDP;EUR;15.238B;;;;;19.4 (Low risk);281.88 Ton / Million (EUR);29%;5.80%;Stock;Ordinary Shares;Euronext Lisbon;PTEDP0AM0009;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;40%;;;0%;28.9 unit;37.50%;6 unit;16 unit;74,858 terajoule;
EDP RENOVAVEIS;EUR;13.281B;;;;;16.2 (Low Risk);85.89 Ton / Million (EUR);34%;14.20%;Stock;Ordinary Shares;Euronext Lisbon;ES0127797019;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;0%;;;1.40%;29 unit;41.70%;5 unit;12 unit;400,476 gigajoule;
GALP ENERGIA-NOM;EUR;11.504B;;;;;;;45%;;Stock;Ordinary Shares;Euronext Lisbon;PTGAL0AM0009;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;25%;19%;;; unit;27.78%;5 unit;18 unit;;
GREENVOLT ENERGIAS RENOVAVEIS S.A.;EUR;1.156B;;;;;;31.2345 Ton / Million (EUR);40%;;Stock;Ordinary Shares;Euronext Lisbon;PTGNV0AM0001;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;;;;;;36.36%;4 unit;11 unit;9,638,879 gigajoule;
Ibersol-SGPS;EUR;296.517M;;;;;;29.6425 Ton / Million (EUR);53%;;Stock;Ordinary Shares;Euronext Lisbon;PTIBS0AM0008;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501040, Restaurants and Bars;;;;; unit;40%;2 unit;5 unit;75,565,473 kWh;
J.MARTINS,SGPS;EUR;11.271B;;;;;;1,650.7916 Ton / Million (EUR);75.96%;;Stock;Ordinary Shares;Euronext Lisbon;PTJMT0AE0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;66.90%;2.20%;;1.80%;55.88 unit;36.36%;4 unit;11 unit;7,490,850 gigajoule;
MOTA ENGIL;EUR;1.314B;;;;;;1,311.76 Ton / Million (EUR);14%;;Stock;Ordinary Shares;Euronext Lisbon;PTMEN0AE0005;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;1%;;;;11.1 unit;46.67%;7 unit;15 unit;6,793,430 gigajoule;
NOS, SGPS, SA;EUR;1.870B;;;;;;0.13 Ton / Thousand (EUR);40.88%;;Stock;Ordinary Shares;Euronext Lisbon;PTZON0AM0006;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;14.29%;;;1%;19.16 unit;33.33%;5 unit;15 unit;212,772 MWh;
REN;EUR;1.468B;;;;;;61.9923 Ton / Million (EUR);25.30%;;Stock;Ordinary Shares;Euronext Lisbon;PTREL0AM0008;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;29%;1.70%;;;52 unit;35.71%;5 unit;14 unit;3,579,369 gigajoule;
SEMAPA;EUR;1.232B;;;;;;;15.90%;;Stock;Ordinary Shares;Euronext Lisbon;PTSEM0AM0004;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;17.60%;;;;29 unit;37.50%;3 unit;8 unit;58,204,219 gigajoule;
SONAE;EUR;1.806B;;;;;19;1,096.1479 Ton / Million (EUR);66%;25%;Stock;Ordinary Shares;Euronext Lisbon;PTSON0AM0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;;1.15%;;0.67%;21.53 unit;30%;3 unit;10 unit;2,902,047 gigajoule;
THE NAVIGATOR COMP;EUR;2.809B;;;;;;776.9302 Ton / Million (EUR);17.05%;;Stock;Ordinary Shares;Euronext Lisbon;PTPTI0AM0006;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;;;;;41 unit;23.08%;3 unit;13 unit;41,165,471 gigajoule;
AIB GROUP PLC;EUR;13.225B;;;;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BF0L3536;30, Financials;3010, Banks;301010, Banks;30101010, Banks;37%;18.90%;;;30.8 unit;40%;6 unit;15 unit; MWh;
BANK OF IRELAND GROUP PLC;EUR;10.508B;;;;;;; %;;Stock;Ordinary Shares;Euronext Dublin;IE00BD1RP616;30, Financials;3010, Banks;301010, Banks;30101010, Banks;46%;;;; unit;36.36%;4 unit;11 unit; kWh;
CAIRN HOMES PLC;EUR;1.053B;;;;;;;25%;;Stock;Ordinary Shares;Euronext Dublin;IE00BWY4ZF18;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;20%;19.50%;;;;33.30%;3 unit;9 unit;13,050,001 kWh;
CORRE ENERGY B.V.;EUR;61.579M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;NL0015000DY3;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;;;;;;0%;0 unit;4 unit;;
CRH PLC;EUR;50.000K;;;;;;;;;Stock;Preferred Shares;Euronext Growth Dublin;IE0001827264;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;;;;;;;;;
DALATA HOTEL GROUP PLC;EUR;938.536M;;;;;22;63.1643 Ton / Million (EUR); %;;Stock;Ordinary Shares;Euronext Dublin;IE00BJMZDW83;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;45%;7%;;;10 unit;62.50%;5 unit;8 unit;499,143 gigajoule;
DATALEX PLC;EUR;63.689M;;;;;;;27.11%;;Stock;Ordinary Shares;Euronext Growth Dublin;IE0000527006;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;41.67%;;;;;0%;0 unit;7 unit;;
DONEGAL INVESTMENT GROUP PLC;EUR;25.070M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE000TIRQBE1;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;;;;;0%;0 unit;5 unit;;
FBD HOLDINGS PLC;;;;;;;;76.78 Ton / Million (EUR);61%;;Stock;Ordinary Shares;Euronext Dublin;IE0003290289;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;30%;28%;;;;27.30%;3 unit;11 unit;;
FD TECHNOLOGIES PLC;EUR;418.663M;;;;;;;30%;;Stock;Ordinary Shares;Euronext Growth Dublin;GB0031477770;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;;;;;;28.57%;2 unit;7 unit;702,325 kWh;
GLANBIA PLC;EUR;4.690B;;;;;;;27%;;Stock;Ordinary Shares;Euronext Dublin;IE0000669501;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;38%;1%;;;;35.71%;5 unit;14 unit;;
GLENVEAGH PROPERTIES PLC;EUR;738.907M;;;;;;0.36 Ton / Thousand (EUR);30%;;Stock;Ordinary Shares;Euronext Dublin;IE00BD6JX574;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;;;;;19 unit;28.57%;2 unit;7 unit;;
GREAT WESTERN MINING CORPORATION PLC;EUR;3.548M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1FR8863;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining;;;;;;16.67%;1 unit;6 unit;;
GREENCOAT RENEWABLES PLC;EUR;975.759M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BF2NR112;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;;;;;;;;;;
IRISH CONTINENTAL GROUP PLC;EUR;824.150M;;;;;;;39%;;Stock;Units;Euronext Dublin;IE00BLP58571;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;;;;;33.33%;2 unit;6 unit;6,735,200 gigajoule;
IRISH RESIDENTIAL PROPERTIES REIT PLC;EUR;528.520M;;;;;;;49%;;Stock;Ordinary Shares;Euronext Dublin;IE00BJ34P519;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102040, Residential REITs;;;;;41 unit;33.33%;3 unit;9 unit;750,823 kWh;
KENMARE RESOURCES PLC;EUR;358.697M;;;;;;366.86 Ton / Million (USD);16%;;Stock;Ordinary Shares;Euronext Dublin;IE00BDC5DG00;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining;18%;;;;44.5 unit;33.30%;3 unit;9 unit;435,903 MWh;
KERRY GROUP PLC;EUR;13.733B;;;;;;;32.60%;;Stock;Ordinary Shares;Euronext Dublin;IE0004906560;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;24%;;;;7 unit;42.90%;6 unit;14 unit;3,235,078 MWh;
KINGSPAN GROUP PLC;EUR;14.834B;A;;;;18.2;662.0541 Ton / Million (EUR);21%;;Stock;Ordinary Shares;Euronext Dublin;IE0004927939;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other;31%;;;;;36.36%;4 unit;11 unit;836.5 GWh;
MALIN CORPORATION PLC;EUR;105.312M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BVGC3741;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;;;;;33.30%;2 unit;6 unit;;
MINCON GROUP PLC;EUR;104.111M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BD64C665;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;;;;;;25%;2 unit;8 unit;;
ORIGIN ENTERPRISES PLC;EUR;349.602M;B;;;;Low Risk;56,791.5952 Ton / Million (EUR);27%;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1WV4493;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;25%;;;;;33.33%;3 unit;9 unit;12,314 MWh;
OVOCA BIO PLC;EUR;530.753K;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B4XVDC01;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;;;;;;50%;2 unit;4 unit;;
PERMANENT TSB GROUP HOLDINGS PLC;EUR;862.031M;;;;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00BWB8X525;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;;;;;;;
RYANAIR HOLDINGS PLC;EUR;23.428B;;;;;23.4;824.8105 Ton / Million (EUR);42%;;Stock;Ordinary Shares;Euronext Dublin;IE00BYTBXV33;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;;;;;;38.46%;5 unit;13 unit;;
SMURFIT KAPPA GROUP PLC;EUR;10.653B;;;;;;;;;Stock;Ordinary Shares;Euronext Dublin;IE00B1RR8406;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;;;;;;;;;;
UNIPHAR PLC;EUR;707.110M;;;;;;;;;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BJ5FQX74;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201015, Drug Retailers;;;;;;;;;;
AKER BP;NOK;179.874B;A-;;;;34.7;2,572.4275 Ton / Million (USD);;;Stock;Ordinary Shares;Oslo Børs;NO0010345853;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101010, Oil: Crude Producers;;;;;23.3 unit;33.33%;4 unit;12 unit;18,305,758 gigajoule;
BW LPG;NOK;20.020B;C;;;;Low Risk;;40%;12%;Stock;Ordinary Shares;Oslo Børs;BMG173841013;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;17%;;;;10.6 unit;60%;3 unit;5 unit;16,533.2 terajoule;
DNB BANK ASA;NOK;325.954B;;;;;;;46.20%;;Stock;Ordinary Shares;Oslo Børs;NO0010161896;30, Financials;3010, Banks;301010, Banks;30101010, Banks;41.70%; %;;;;50%;5 unit;10 unit;;
EQUINOR;NOK;902.133B;;;;;;2,061.02 Ton / Million (USD);32%;;Stock;Ordinary Shares;Oslo Børs;NO0010096985;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;36%;;;;;40%;4 unit;10 unit;;
FRONTLINE PLC;NOK;57.615B;;;;;;;26.32%;;Stock;Ordinary Shares;Oslo Børs;CY0200352116;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;;;;;0%;0 unit;6 unit;;
GOLDEN OCEAN GROUP;NOK;28.978B;;;;;;622.17 Ton / Million (USD);34.20%;;Stock;Ordinary Shares;Oslo Børs;BMG396372051;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;;;;;0%;0 unit;5 unit;21,483,634 gigajoule;
HAFNIA LIMITED;NOK;41.254B;;;;;;;5.36%;;Stock;Ordinary Shares;Oslo Børs;BMG4233B1090;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;17%;;;;16.3 unit;16.67%;1 unit;6 unit;24,053,927,774 megajoule;
HOEGH AUTOLINERS ASA;NOK;18.648B;;;;;;776.2357 Ton / Million (USD);46%;7.85%;Stock;Ordinary Shares;Oslo Børs;NO0011082075;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;29%;;;;;42.86%;3 unit;7 unit;;
KONGSBERG GRUPPEN;NOK;131.062B;;;;;;206.86 Ton / Million (NOK);21.60%;5.30%;Stock;Ordinary Shares;Oslo Børs;NO0003043309;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203000, Diversified Industrials;21%;8%;;;;50%;4 unit;8 unit;174,434 MWh;
MOWI;NOK;95.174B;;;;;;210.91 Ton / Million (EUR);40%;;Stock;Ordinary Shares;Oslo Børs;NO0003054108;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;25%;;;1.60%;13.9 unit;44.40%;4 unit;9 unit;3,279 terajoule;
MPC CONTAINER SHIPS;NOK;5.781B;;;;;;2,637.81 Ton / Million (USD);36.40%;;Stock;Ordinary Shares;Oslo Børs;NO0010791353;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;;;;;40%;2 unit;5 unit;21,352,958 gigajoule;
NEL;NOK;7.902B;;;;;;1.5834 Ton / Million (NOK);20.50%;;Stock;Ordinary Shares;Oslo Børs;NO0010081235;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;11.10%;15%;;;7.2 unit;42.86%;3 unit;7 unit;16,729 MWh;
NORDIC SEMICONDUCTOR;NOK;17.524B;;;;;;28.36 Ton / Million (USD);17.10%;;Stock;Ordinary Shares;Oslo Børs;NO0003055501;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;20%;;;;;40%;4 unit;10 unit;5,177 MWh;
NORSK HYDRO;NOK;145.212B;;;;;17,8 (low risk);117.16 Ton / Million (NOK); %;;Stock;Ordinary Shares;Oslo Børs;NO0005052605;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102035, Aluminum; %;;; %; unit;36.40%;4 unit;11 unit;45,700 GWh;
NORWEGIAN AIR SHUTTLE;NOK;15.976B;B-;;;;;0.12 Ton / Thousand (NOK);43%;;Stock;Ordinary Shares;Oslo Børs;NO0010196140;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;22%;;;;;37.50%;3 unit;8 unit;;
ORKLA;NOK;79.113B;;;;;;32.57 Ton / Million (NOK);46.50%;;Stock;Ordinary Shares;Oslo Børs;NO0003733800;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;40.20%;;;;12.4 unit;45.50%;5 unit;11 unit;1,005 GWh;
PGS;NOK;8.451B;;;;;;0 Kiloton / Thousand (USD);30%;;Stock;Ordinary Shares;Oslo Børs;NO0010199151;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;;;;;13.7 unit;50%;5 unit;10 unit;1,061 GWh;
SALMAR;NOK;86.155B;;;;;;14.3287 Ton / Million (NOK);28%;;Stock;Ordinary Shares;Oslo Børs;NO0010310956;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;14%;;;;;42.86%;3 unit;7 unit;1,058 terajoule;
STOREBRAND;NOK;44.222B;;;;;;0.0074 Ton / Million (NOK);46%;;Stock;Ordinary Shares;Oslo Børs;NO0003053605;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;56%;16%;;;6 unit;50%;5 unit;10 unit;145 kWh;
SUBSEA 7;NOK;54.286B;;;;;;152.0874 Ton / Million (USD);17%;8.20%;Stock;Ordinary Shares;Oslo Børs;LU0075646355;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;29%;;;;13.08 unit;14.29%;1 unit;7 unit;7,823,374.1 gigajoule;
TELENOR;NOK;170.314B;;;;;;0.01 Kiloton / Million (NOK);38%;;Stock;Ordinary Shares;Oslo Børs;NO0010063308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;;;;;;50%;5 unit;10 unit;2,791 GWh;
TGS ASA;NOK;17.218B;;;;;;0.07 Ton / Thousand (USD);54.55%;;Stock;Ordinary Shares;Oslo Børs;NO0003078800;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;29%;;;;21.6 unit;40%;2 unit;5 unit;25,329,072 kWh;
TOMRA SYSTEMS;NOK;43.074B;;;;;;29.57 Ton / Million (NOK);23%;;Stock;Ordinary Shares;Oslo Børs;NO0012470089;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;29%;2.30%;;;;37.50%;3 unit;8 unit;2,159,283 MWh;
VÅR ENERGI ASA;NOK;94.115B;;;;;;735.2741 Ton / Million (USD);25.47%;;Stock;Ordinary Shares;Oslo Børs;NO0011202772;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101015, Offshore Drilling and Other Services;30%;6%;;;;50%;6 unit;12 unit;3,531,134 gigajoule;
YARA INTERNATIONAL;NOK;86.199B;;;;;;;;;Stock;Ordinary Shares;Oslo Børs;NO0010208051;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201015, Fertilizers;;;;;;;;;;
A2A;;;;;;;;990.9946 Ton / Million (EUR);19%;8.90%;Stock;Ordinary Shares;Euronext Milan;IT0001233417;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;25%;;;;24 unit;41.67%;5 unit;12 unit;;
AMPLIFON;EUR;7.020B;;;;;;17.13 Ton / Million (EUR);73.30%;;Stock;Ordinary Shares;Euronext Milan;IT0004056880;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;27.40%;;;4.70%;29.8 unit;55.60%;5 unit;9 unit;241,887 gigajoule;
AZIMUT;EUR;3.461B;;;;;;;46%;;Stock;Ordinary Shares;Euronext Milan;IT0003261697;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;16%; %;;0.48%;5 unit;43.75%;7 unit;16 unit;10,279 gigajoule;
BANCA GENERALI;EUR;4.167B;;;;;;;49%;;Stock;Ordinary Shares;Euronext Milan;IT0001031084;30, Financials;3010, Banks;301010, Banks;30101010, Banks;37%;;;4.70%;59 unit;50%;4 unit;8 unit;11,374 gigajoule;
BANCA MEDIOLANUM;EUR;7.585B;;;;;;;49.50%;;Stock;Ordinary Shares;Euronext Milan;IT0004776628;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;;;;;34.39 unit;46.15%;6 unit;13 unit;68,826.6 gigajoule;
BANCO BPM;EUR;9.627B;;;;;;;46.10%;;Stock;Ordinary Shares;Euronext Milan;IT0005218380;30, Financials;3010, Banks;301010, Banks;30101010, Banks;26%;;;;55 unit;40%;6 unit;15 unit;570,832.6 gigajoule;
BPER BANCA;EUR;6.252B;;;;;;;47%;1.07%;Stock;Ordinary Shares;Euronext Milan;IT0000066123;30, Financials;3010, Banks;301010, Banks;30101010, Banks;20.80%;;;;45.14 unit;53.33%;8 unit;15 unit;517,086 gigajoule;
BUZZI;EUR;6.484B;;;;;;;14.20%;;Stock;Ordinary Shares;Euronext Milan;IT0001347308;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;;;;31 unit;41.67%;5 unit;12 unit;104,757 terajoule;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CNH INDUSTRIAL;EUR;14.686B;;;;;;;10.60%;;Stock;Ordinary Shares;Euronext Global Equity Market;NL0010545661;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204010, Machinery: Agricultural;17%;;;1.80%;22.19 unit;44.44%;4 unit;9 unit;3,772,000 gigajoule;
DIASORIN;EUR;5.012B;;;;;;;43%;;Stock;Ordinary Shares;Euronext Milan;IT0003492391;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment;26.94%;10%;;;60.84 unit;40%;6 unit;15 unit;212,879 gigajoule;
ENEL;EUR;59.699B;;;;;;0.0009 Million tons / Million (EUR);23.40%;;Stock;Ordinary Shares;Euronext Milan;IT0003128367;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;24.90%;19.30%;;3.30%;47.4 unit;44.44%;4 unit;9 unit;;
ENI;EUR;50.023B;Water Security, 2023;;;;;2,547.3534 Ton / Million (EUR);26.86%;2.68%;Stock;Ordinary Shares;Euronext Milan;IT0003132476;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;17.51%;1%;;;31.1 unit;44.44%;4 unit;9 unit;517,100,000 gigajoule;
ERG;EUR;3.617B;;;;;14.1 Low Risk;26.68 Ton / Million (EUR);31%;5.40%;Stock;Ordinary Shares;Euronext Milan;IT0001157020;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;18%;1%;;;42.5 unit;41.70%;5 unit;12 unit;22 GWh;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FINECOBANK;EUR;8.520B;;;;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0000072170;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;;;;;;;
GENERALI ASS;EUR;35.353B;;;;;;1.73 Ton / Million (EUR);51.10%;;Stock;Ordinary Shares;Euronext Milan;IT0000062072;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;14.50%;;;34.4 unit;46.20%;6 unit;13 unit;;
HERA;EUR;4.767B;;;;;;1,264.5281 Ton / Million (EUR);27.64%;2.42%;Stock;Ordinary Shares;Euronext Milan;IT0001250932;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;21.60%;;;3.53%;30.8 unit;40%;6 unit;15 unit;14,333 terajoule;
INTERPUMP GROUP;EUR;4.477B;;;;;;;19.20%;;Stock;Ordinary Shares;Euronext Milan;IT0001078911;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;11.30%;;;;10 unit;50%;5 unit;10 unit;831,735 gigajoule;
INTESA SANPAOLO;EUR;61.238B;A;;;;12.2;;53.70%;2.80%;Stock;Ordinary Shares;Euronext Milan;IT0000072618;30, Financials;3010, Banks;301010, Banks;30101010, Banks;0.50%;;;4.50%;51.4 unit;42.10%;8 unit;19 unit;3,602,151 gigajoule;
INWIT;EUR;9.463B;;;;;;18.7958 Ton / Million (EUR);38%;;Stock;Ordinary Shares;Euronext Milan;IT0005090300;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;26%;;;;19.1 unit;45.45%;5 unit;11 unit;2,787,431 gigajoule;
ITALGAS;EUR;4.081B;;;;;;26.7793 Ton / Million (EUR);17.76%;2.10%;Stock;Ordinary Shares;Euronext Milan;IT0005211237;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102020, Gas Distribution;18.33%;13.20%;;4.30%;35 unit;44.44%;4 unit;9 unit;472 terajoule;
IVECO GROUP;EUR;3.404B;;;;;;8,110.5393 Ton / Million (EUR);18.40%;2.90%;Stock;Ordinary Shares;Euronext Milan;NL0015000LU4;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206015, Commercial Vehicles and Parts;18.75%;;;5.30%;11.29 unit;33.33%;3 unit;9 unit;3,052,041 gigajoule;
LEONARDO;;;;;;;;434.48 Ton / Million (EUR);19.60%;4.40%;Stock;Ordinary Shares;Euronext Milan;IT0003856405;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;16%;2%;;3.20%;24.1 unit;41.70%;5 unit;12 unit;5,311 terajoule;
MEDIOBANCA;EUR;11.542B;C;;;;15.07.1940;;42.05%;;Stock;Ordinary Shares;Euronext Milan;IT0000062957;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;;26.14%;;;26.3 unit;40%;6 unit;15 unit;135,819.1 gigajoule;
MONCLER;;;A-;;;;Top-Rated Badge;18.2543 Ton / Million (EUR);68.80%;13.40%;Stock;Ordinary Shares;Euronext Milan;IT0004965148;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;51%;;;1.20%;27.07 unit;41.67%;5 unit;12 unit;48,506,186 kWh;
NEXI;EUR;7.147B;;;;;;;42%;;Stock;Ordinary Shares;Euronext Milan;IT0005366767;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;22.30%;19.30%;;1.74%;19.6 unit;38.46%;5 unit;13 unit;235,295.8 gigajoule;
PIRELLI & C;EUR;5.870B;;;;;;362.67 Ton / Million (EUR);15.60%;6.50%;Stock;Ordinary Shares;Euronext Milan;IT0005278236;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires;13.70%;;;1.90%;177.6 unit;40%;6 unit;15 unit;10,170,405 gigajoule;
POSTE ITALIANE;EUR;15.223B;A-;;;;;3.6046 Ton / Million (EUR);53.10%;5.50%;Stock;Ordinary Shares;Euronext Milan;IT0003796171;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;46%;0.70%;;4.27%;48 unit;44.44%;4 unit;9 unit;3,915,250 gigajoule;
