Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Share of women in management bodies;Gender pay gap;Professional equality index;Rate of employees with disabilities;Average training hours per employee;Board gender diversity (female board members / total board members);Number of female board members;Number of board members;Total energy consumption; Ratio of non-recycled waste
PUBLICIS GROUPE SA;EUR;25.724B;;;;;;10.65 Ton / Million (EUR);51.30%;;Stock;Ordinary Shares;Euronext Paris;FR0000130577;40, Consumer Discretionary;4030, Media;403010, Media;40301020, Media Agencies;42.50%;;90 unit;1.47%;21 unit;38.46%;5 unit;13 unit;111,864 MWh;
RENAULT;EUR;14.319B;;;;;;1,190.19 Ton / Million (EUR);22%;;Stock;Ordinary Shares;Euronext Paris;FR0000131906;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;35.60%;0%;100 unit;3.20%;22.4 unit;31.30%;5 unit;16 unit;3,884,241 MWh;
SAFRAN;EUR;88.956B;;;;;; Ton / Million (EUR);29.30%;7.70%;Stock;Ordinary Shares;Euronext Paris;FR0000073272;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;26.30%;;91 unit;5.20%;31 unit;43.80%;7 unit;16 unit;2,143,484 MWh;
SAINT GOBAIN;EUR;36.090B;;;;;;810.88 Ton / Million (EUR);23.70%;8.60%;Stock;Ordinary Shares;Euronext Paris;FR0000125007;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other;37.50%;0.92%;;1.90%;17.2 unit;50%;7 unit;14 unit;41,854 GWh;
SANOFI;EUR;107.938B;;;;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120578;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;;;;;;;;;
SCHNEIDER ELECTRIC SE;EUR;123.561B;;;;;;713.31 Ton / Million (EUR);33%;8.52%;Stock;Ordinary Shares;Euronext Paris;FR0000121972;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;41%;3%;81 unit; %;24.1 unit;50%;7 unit;14 unit;1,201,276 MWh;
SOCIETE GENERALE;EUR;19.797B;;;;;;; %; %;Stock;Ordinary Shares;Euronext Paris;FR0000130809;30, Financials;3010, Banks;301010, Banks;30101010, Banks; %;; unit; %; unit;46.70%;7 unit;15 unit;454,210 MWh;
STELLANTIS NV;EUR;76.930B;;;;;;6,409.5742 Ton / Million (EUR); %; %;Stock;Ordinary Shares;Euronext Paris;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles; %;;;; unit;27.27%;3 unit;11 unit;15,494,891 MWh;
STMICROELECTRONICS;EUR;34.374B;;;;;;27.9849 Ton / Million (USD); %; %;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors; %; %; unit; %; unit;44.44%;4 unit;9 unit;10,363.96 terajoule;
TELEPERFORMANCE;EUR;5.507B;;;;;;23.89 Ton / Million (EUR); %;;Stock;Ordinary Shares;Euronext Paris;FR0000051807;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205020, Professional Business Support Services; %; %; unit; %; unit;43.80%;7 unit;16 unit;317,975 MWh;
THALES;EUR;32.698B;;;;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000121329;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;;;;;;;;;;
TOTALENERGIES;EUR;160.730B;;;;;;1,880.7629 Ton / Million (USD);36.30%;9.10%;Stock;Ordinary Shares;Euronext Paris;FR0000120271;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;27.50%;;;6.03%;48.64 unit;42.86%;6 unit;14 unit;167,000 GWh;
UNIBAIL-RODAMCO-WESTFIELD;EUR;10.328B;;;;;5.8 / Negligible Risk;75.36 Ton / Million (EUR);54.20%;9.40%;Stock;Ordinary Shares;Euronext Paris;FR0013326246;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102045, Retail REITs;16.70%;4.30%;94 unit;0.80%;19 unit;60%;6 unit;10 unit;592,834 MWh;
VEOLIA ENVIRON.;EUR;20.747B;;;;;;1,305.4959 Ton / Million (EUR);22.30%;8.60%;Stock;Ordinary Shares;Euronext Paris;FR0000124141;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102030, Water;22.20%; %;87 unit;2.40%;26 unit;53.85%;7 unit;13 unit;122,000,000 MWh;
VINCI;EUR;66.681B;;;;;;437.83 Ton / Million (EUR);16.80%;10.40%;Stock;Ordinary Shares;Euronext Paris;FR0000125486;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;19.50%;;84 unit;1.80%;21.5 unit;42.90%;6 unit;14 unit;10,686,843 MWh;
VIVENDI SE;EUR;10.167B;;;;;;9.9488 Ton / Million (EUR);54%;52%;Stock;Ordinary Shares;Euronext Paris;FR0000127771;40, Consumer Discretionary;4030, Media;403010, Media;40301035, Radio and TV Broadcasters;38%;;89 unit;1.01%;10.9 unit;53.85%;7 unit;13 unit;155,136 MWh;
ABN AMRO BANK N.V.;EUR;7.577B;;;;;;;;;Stock;Cooperative Investment Certificate;Euronext Amsterdam;NL0011540547;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;;;;;;;
ADYEN;EUR;44.813B;;;;;;1.45 Ton / Million (EUR);38%;;Stock;Ordinary Shares;Euronext Amsterdam;NL0012969182;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;27%;;;;;40%;2 unit;5 unit;;
AEGON;EUR;10.144B;;;;;;1.31 Ton / Million (EUR);51%;10%;Stock;Ordinary Shares;Euronext Amsterdam;BMG0112X1056;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;38%;;;;;44.40%;4 unit;9 unit;40,744 MWh;
