Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
CRH plc,80.16 79.74,80.16 80.16,0.42 0.53%,03:01 AM 03/26/2024 03:01:53 AM UTC-0400 26.03.2024,3.66 7.47%,11.63 62.97%,30.86 66.22%
Kerry Group plc,81.58 82.08,81.58 81.58,-0.50 -0.61%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,8.06 10.75%,0.00 0.00%,-7.18 -7.96%
Kingspan Group plc,83.00 83.32,82.06 83.00,-0.32 -0.38%,09:18 AM 03/26/2024 09:18:19 AM UTC-0400 26.03.2024,8.06 10.47%,0.00 0.00%,23.60 38.41%
