Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
REC Silicon ASA,0.90 0.93,0.90 0.90,-0.03 -3.29%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-0.19 -16.74%,0.00 0.00%,-0.45 -31.87%
Royal Caribbean Cruises Ltd.,126.35 126.80,125.15 126.35,-0.45 -0.35%,12:10 PM 03/26/2024 12:10:54 PM UTC-0400 26.03.2024,7.75 6.04%,44.77 49.07%,74.26 120.28%
SalMar ASAShs,60.86 61.46,60.68 60.86,-0.60 -0.98%,10:30 AM 03/26/2024 10:30:33 AM UTC-0400 26.03.2024,13.70 28.79%,0.00 0.00%,22.78 59.17%
Scatec Solar ASA,6.19 6.24,6.19 6.24,-0.06 -0.88%,04:02 AM 03/26/2024 04:02:37 AM UTC-0400 26.03.2024,-0.94 -13.15%,0.00 0.00%,0.47 8.19%
Schibsted ASA,27.28 28.50,27.28 27.28,-1.22 -4.28%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,2.56 10.01%,0.00 0.00%,9.52 51.16%
Schibsted ASA (B),26.58 26.10,25.82 26.58,0.48 1.84%,06:36 AM 03/26/2024 06:36:04 AM UTC-0400 26.03.2024,0.02 0.08%,0.00 0.00%,7.89 47.73%
Stolt-Nielsen Ltd,34.15 32.80,34.15 34.15,1.35 4.12%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,5.55 20.26%,0.00 0.00%,5.40 19.60%
Storebrand AsaShs,8.48 8.46,8.48 8.48,0.02 0.21%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,0.73 9.32%,0.00 0.00%,1.69 24.71%
Subsea 7 S.A.,14.74 14.62,14.74 14.74,0.12 0.79%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,0.93 7.07%,0.00 0.00%,2.63 23.13%
Telenor ASA,10.21 10.26,10.21 10.32,-0.05 -0.49%,05:05 AM 03/26/2024 05:05:25 AM UTC-0400 26.03.2024,-0.15 -1.44%,0.00 0.00%,-0.37 -3.44%
TGS-Nopec Geophysical Company ASAShs,10.16 9.63,10.14 10.16,0.53 5.50%,02:43 PM 03/26/2024 02:43:45 PM UTC-0400 26.03.2024,-2.60 -21.76%,0.00 0.00%,-6.61 -41.42%
Veidekke ASA,9.90 9.86,9.87 9.90,0.04 0.41%,06:36 AM 03/26/2024 06:36:04 AM UTC-0400 26.03.2024,0.68 7.61%,0.00 0.00%,0.12 1.26%
Wilh. Wilhelmsen ASA Oppstartsfase 1,7.52 7.43,7.52 7.52,0.09 1.14%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,0.04 0.50%,0.00 0.00%,1.29 19.23%
Wilh. Wilhelmsen Holding ASA (A),30.25 30.95,30.25 30.25,-0.70 -2.26%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,0.10 0.32%,0.00 0.00%,9.75 44.93%
Wilh. Wilhelmsen Holding ASA (B),29.80 28.80,28.90 29.80,1.00 3.47%,12:27 PM 03/26/2024 12:27:09 PM UTC-0400 26.03.2024,2.70 9.15%,0.00 0.00%,10.70 49.77%
XXL ASA,0.06 0.06,0.06 0.06,0.00 -1.72%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,0.02 25.79%,0.00 0.00%,0.00 -1.13%
Yara International ASA,29.21 29.17,28.89 29.21,0.04 0.14%,09:10 AM 03/26/2024 09:10:16 AM UTC-0400 26.03.2024,-2.82 -8.82%,0.00 0.00%,-11.35 -28.02%
